Timestamp,State
24-12-27_16-21-42-526656,ON
24-12-27_16-21-42-596194,OFF
24-12-27_16-21-42-668680,ON
24-12-27_16-21-42-737664,OFF
24-12-27_16-21-42-805585,ON
24-12-27_16-21-42-874803,OFF
24-12-27_16-21-42-943412,ON
24-12-27_16-21-43-012667,OFF
24-12-27_16-21-43-080732,ON
24-12-27_16-21-43-152244,OFF
24-12-27_16-21-43-221734,ON
24-12-27_16-21-43-290290,OFF
24-12-27_16-21-43-358683,ON
24-12-27_16-21-43-426158,OFF
24-12-27_16-21-43-493547,ON
24-12-27_16-21-43-561809,OFF
24-12-27_16-21-43-632053,ON
24-12-27_16-21-43-701784,OFF
24-12-27_16-21-43-770560,ON
24-12-27_16-21-43-838807,OFF
24-12-27_16-21-43-908929,ON
24-12-27_16-21-43-977044,OFF
24-12-27_16-21-44-045858,ON
24-12-27_16-21-44-115002,OFF
24-12-27_16-21-44-183351,ON
24-12-27_16-21-44-251896,OFF
24-12-27_16-21-44-319466,ON
24-12-27_16-21-44-387526,OFF
24-12-27_16-21-44-456028,ON
24-12-27_16-21-44-525996,OFF
24-12-27_16-21-44-592995,ON
24-12-27_16-21-44-662239,OFF
24-12-27_16-21-44-729798,ON
24-12-27_16-21-44-798326,OFF
24-12-27_16-21-44-865164,ON
24-12-27_16-21-44-932905,OFF
24-12-27_16-21-45-001265,ON
24-12-27_16-21-45-069556,OFF
24-12-27_16-21-45-136298,ON
24-12-27_16-21-45-203336,OFF
24-12-27_16-21-45-270571,ON
24-12-27_16-21-45-340238,OFF
24-12-27_16-21-45-409511,ON
24-12-27_16-21-45-478619,OFF
24-12-27_16-21-45-546841,ON
24-12-27_16-21-45-616480,OFF
24-12-27_16-21-45-684657,ON
24-12-27_16-21-45-758678,OFF
24-12-27_16-21-45-826006,ON
24-12-27_16-21-45-894121,OFF
24-12-27_16-21-45-969211,ON
24-12-27_16-21-46-037332,OFF
24-12-27_16-21-46-105569,ON
24-12-27_16-21-46-174673,OFF
24-12-27_16-21-46-242527,ON
24-12-27_16-21-46-309820,OFF
24-12-27_16-21-46-384318,ON
24-12-27_16-21-46-452486,OFF
24-12-27_16-21-46-520651,ON
24-12-27_16-21-46-589120,OFF
24-12-27_16-21-46-668034,ON
24-12-27_16-21-46-745006,OFF
24-12-27_16-21-46-814681,ON
24-12-27_16-21-46-884142,OFF
24-12-27_16-21-46-954313,ON
24-12-27_16-21-47-026861,OFF
24-12-27_16-21-47-093740,ON
24-12-27_16-21-47-166192,OFF
24-12-27_16-21-47-235506,ON
24-12-27_16-21-47-302835,OFF
24-12-27_16-21-47-371907,ON
24-12-27_16-21-47-440142,OFF
24-12-27_16-21-47-508076,ON
24-12-27_16-21-47-575668,OFF
24-12-27_16-21-47-643554,ON
24-12-27_16-21-47-711682,OFF
24-12-27_16-21-47-783282,ON
24-12-27_16-21-47-856004,OFF
24-12-27_16-21-47-924396,ON
24-12-27_16-21-47-993486,OFF
24-12-27_16-21-48-062476,ON
24-12-27_16-21-48-131052,OFF
24-12-27_16-21-48-200216,ON
24-12-27_16-21-48-270706,OFF
24-12-27_16-21-48-337626,ON
24-12-27_16-21-48-403853,OFF
24-12-27_16-21-48-473098,ON
24-12-27_16-21-48-542018,OFF
24-12-27_16-21-48-609701,ON
24-12-27_16-21-48-676547,OFF
24-12-27_16-21-48-744851,ON
24-12-27_16-21-48-818269,OFF
24-12-27_16-21-48-886875,ON
24-12-27_16-21-48-954650,OFF
24-12-27_16-21-49-022151,ON
24-12-27_16-21-49-090786,OFF
24-12-27_16-21-49-159332,ON
24-12-27_16-21-49-226902,OFF
24-12-27_16-21-49-299366,ON
24-12-27_16-21-49-367941,OFF
24-12-27_16-21-49-437142,ON
24-12-27_16-21-49-507214,OFF
24-12-27_16-21-49-575031,ON
24-12-27_16-21-49-643080,OFF
24-12-27_16-21-49-713523,ON
24-12-27_16-21-49-784424,OFF
24-12-27_16-21-49-855472,ON
24-12-27_16-21-49-924612,OFF
24-12-27_16-21-49-993632,ON
24-12-27_16-21-50-061639,OFF
24-12-27_16-21-50-130914,ON
24-12-27_16-21-50-201227,OFF
24-12-27_16-21-50-270721,ON
24-12-27_16-21-50-339448,OFF
24-12-27_16-21-50-409027,ON
24-12-27_16-21-50-481692,OFF
24-12-27_16-21-50-552069,ON
24-12-27_16-21-50-619242,OFF
24-12-27_16-21-50-687370,ON
24-12-27_16-21-50-754166,OFF
24-12-27_16-21-50-822584,ON
24-12-27_16-21-50-890341,OFF
24-12-27_16-21-50-958318,ON
24-12-27_16-21-51-025767,OFF
24-12-27_16-21-51-095155,ON
24-12-27_16-21-51-162116,OFF
24-12-27_16-21-51-233238,ON
24-12-27_16-21-51-302187,OFF
24-12-27_16-21-51-372263,ON
24-12-27_16-21-51-440112,OFF
24-12-27_16-21-51-510122,ON
24-12-27_16-21-51-578488,OFF
24-12-27_16-21-51-651106,ON
24-12-27_16-21-51-719659,OFF
24-12-27_16-21-51-787924,ON
24-12-27_16-21-51-859445,OFF
24-12-27_16-21-51-927545,ON
24-12-27_16-21-52-001101,OFF
24-12-27_16-21-52-090559,ON
24-12-27_16-21-52-162623,OFF
24-12-27_16-21-52-230015,ON
24-12-27_16-21-52-302150,OFF
24-12-27_16-21-52-376818,ON
24-12-27_16-21-52-444107,OFF
24-12-27_16-21-52-512988,ON
24-12-27_16-21-52-583409,OFF
24-12-27_16-21-52-658279,ON
24-12-27_16-21-52-724923,OFF
24-12-27_16-21-52-800383,ON
24-12-27_16-21-52-869121,OFF
24-12-27_16-21-52-938364,ON
24-12-27_16-21-53-007511,OFF
24-12-27_16-21-53-076536,ON
24-12-27_16-21-53-145276,OFF
24-12-27_16-21-53-213389,ON
24-12-27_16-21-53-281522,OFF
24-12-27_16-21-53-350071,ON
24-12-27_16-21-53-422108,OFF
24-12-27_16-21-53-493725,ON
24-12-27_16-21-53-561455,OFF
24-12-27_16-21-53-646132,ON
24-12-27_16-21-53-725751,OFF
24-12-27_16-21-53-793760,ON
24-12-27_16-21-53-860080,OFF
24-12-27_16-21-53-937238,ON
24-12-27_16-21-54-006076,OFF
24-12-27_16-21-54-092216,ON
24-12-27_16-21-54-164672,OFF
24-12-27_16-21-54-234132,ON
24-12-27_16-21-54-300909,OFF
24-12-27_16-21-54-369117,ON
24-12-27_16-21-54-438005,OFF
24-12-27_16-21-54-517622,ON
24-12-27_16-21-54-588525,OFF
24-12-27_16-21-54-659126,ON
24-12-27_16-21-54-735928,OFF
24-12-27_16-21-54-804629,ON
24-12-27_16-21-54-872086,OFF
24-12-27_16-21-54-940885,ON
24-12-27_16-21-55-010009,OFF
24-12-27_16-21-55-078161,ON
24-12-27_16-21-55-152537,OFF
24-12-27_16-21-55-220639,ON
24-12-27_16-21-55-288877,OFF
24-12-27_16-21-55-359423,ON
24-12-27_16-21-55-428217,OFF
24-12-27_16-21-55-496582,ON
24-12-27_16-21-55-567141,OFF
24-12-27_16-21-55-635652,ON
24-12-27_16-21-55-702794,OFF
24-12-27_16-21-55-770878,ON
24-12-27_16-21-55-839151,OFF
24-12-27_16-21-55-909849,ON
24-12-27_16-21-55-977266,OFF
24-12-27_16-21-56-061649,ON
24-12-27_16-21-56-130754,OFF
24-12-27_16-21-56-200621,ON
24-12-27_16-21-56-269204,OFF
24-12-27_16-21-56-337551,ON
24-12-27_16-21-56-405705,OFF
24-12-27_16-21-56-473711,ON
24-12-27_16-21-56-544302,OFF
24-12-27_16-21-56-612187,ON
24-12-27_16-21-56-680355,OFF
24-12-27_16-21-56-754560,ON
24-12-27_16-21-56-824699,OFF
24-12-27_16-21-56-892429,ON
24-12-27_16-21-56-961230,OFF
24-12-27_16-21-57-028582,ON
24-12-27_16-21-57-097149,OFF
24-12-27_16-21-57-169747,ON
24-12-27_16-21-57-237263,OFF
24-12-27_16-21-57-304200,ON
24-12-27_16-21-57-372394,OFF
24-12-27_16-21-57-442323,ON
24-12-27_16-21-57-510439,OFF
24-12-27_16-21-57-586256,ON
24-12-27_16-21-57-656065,OFF
24-12-27_16-21-57-724621,ON
24-12-27_16-21-57-793240,OFF
24-12-27_16-21-57-861993,ON
24-12-27_16-21-57-930108,OFF
24-12-27_16-21-57-999098,ON
24-12-27_16-21-58-068150,OFF
24-12-27_16-21-58-136114,ON
24-12-27_16-21-58-204116,OFF
24-12-27_16-21-58-271420,ON
24-12-27_16-21-58-342520,OFF
24-12-27_16-21-58-411435,ON
24-12-27_16-21-58-479466,OFF
24-12-27_16-21-58-546122,ON
24-12-27_16-21-58-616742,OFF
24-12-27_16-21-58-685547,ON
24-12-27_16-21-58-753001,OFF
24-12-27_16-21-58-820139,ON
24-12-27_16-21-58-889137,OFF
24-12-27_16-21-58-957710,ON
24-12-27_16-21-59-026875,OFF
24-12-27_16-21-59-094951,ON
24-12-27_16-21-59-163503,OFF
24-12-27_16-21-59-237726,ON
24-12-27_16-21-59-305417,OFF
24-12-27_16-21-59-384992,ON
24-12-27_16-21-59-452775,OFF
24-12-27_16-21-59-520814,ON
24-12-27_16-21-59-590559,OFF
24-12-27_16-21-59-660372,ON
24-12-27_16-21-59-728026,OFF
24-12-27_16-21-59-797487,ON
24-12-27_16-21-59-866335,OFF
24-12-27_16-21-59-935495,ON
24-12-27_16-22-00-004471,OFF
24-12-27_16-22-00-072343,ON
24-12-27_16-22-00-142240,OFF
24-12-27_16-22-00-210333,ON
24-12-27_16-22-00-289396,OFF
24-12-27_16-22-00-358263,ON
24-12-27_16-22-00-438799,OFF
24-12-27_16-22-00-507854,ON
24-12-27_16-22-00-576627,OFF
24-12-27_16-22-00-645887,ON
24-12-27_16-22-00-714565,OFF
24-12-27_16-22-00-783998,ON
